ID,Age,Sex,Date,Partner_order,Adult,Partner_age,Partner_sex,How,Related,Relationship,AtCamp,Preferred,Unpreferred,Post_camp
987,15,M,23-Jan,3,No,15,M,ThroughFamily,No,Unrelated,No,No,No,No
987,15,M,23-Jan,4,No,15,M,ThroughFamily,No,Unrelated,No,No,No,No
987,15,M,23-Jan,5,No,16,M,ThroughFamily,No,Unrelated,No,Yes,No,No
987,15,M,23-Jan,6,No,15,M,School,No,Unrelated,No,No,No,No
987,15,M,23-Jan,7,No,13,M,School,No,Unrelated,No,No,No,No
987,15,M,23-Jan,8,No,15,M,School,No,Unrelated,No,Yes,No,No
382,12,M,23-Jan,1,No,10,M,Neighbors,No,Unrelated,No,Yes,No,No
382,12,M,23-Jan,2,No,12,M,Family,Yes,Extended,No,Yes,No,No
382,12,M,23-Jan,3,No,12,M,Neighbors,No,Unrelated,No,No,No,No
382,12,M,23-Jan,4,No,9,M,Neighbors,No,Unrelated,No,No,Yes,No
382,12,M,23-Jan,5,No,11,M,Neighbors,No,Unrelated,No,No,No,No
382,12,M,23-Jan,6,No,12,M,Family,Yes,Extended,No,No,No,No
382,12,M,23-Jan,7,No,12,M,Neighbors,No,Unrelated,No,No,No,No
423,7,M,25-Jan,1,No,6,M,Family,Yes,Extended,No,No,No,No
423,7,M,25-Jan,2,No,6,M,School,No,Unrelated,Yes,Yes,No,No
423,7,M,25-Jan,3,Yes,Adult,F,Family,Yes,Immediate,No,No,No,No
423,7,M,25-Jan,4,Yes,Adult,M,Family,Yes,Immediate,No,No,No,No
423,7,M,25-Jan,5,No,13,F,Family,Yes,Immediate,Yes,No,No,No
423,7,M,25-Jan,6,No,5,F,Family,Yes,Immediate,Yes,No,No,No
423,7,M,25-Jan,7,Yes,Adult,F,Family,Yes,Extended,No,No,No,No
978,8,F,25-Jan,1,Yes,Adult,F,Family,Yes,Immediate,No,No,No,No
978,8,F,25-Jan,2,Yes,Adult,F,Family,Yes,Extended,No,No,No,No
978,8,F,25-Jan,3,No,7,F,School,No,Unrelated,No,Yes,No,No
978,8,F,25-Jan,4,No,6,F,Neighbors,No,Unrelated,No,Yes,No,No
935,5,F,25-Jan,1,No,7,M,Family,Yes,Immediate,Yes,No,No,No
935,5,F,25-Jan,2,No,13,F,Family,Yes,Immediate,Yes,No,No,No
722,13,F,25-Jan,1,No,13,F,School,No,Unrelated,No,No,No,No
722,13,F,25-Jan,2,No,12,M,School,No,Unrelated,No,No,No,No
722,13,F,25-Jan,3,No,13,M,School,No,Unrelated,No,No,No,No
722,13,F,25-Jan,4,No,14,M,School,No,Unrelated,No,No,No,No
432,7,F,25-Jan,1,No,8,F,School,No,Unrelated,No,Yes,No,No
432,7,F,25-Jan,2,No,7,M,School,No,Unrelated,No,Yes,No,No
432,7,F,25-Jan,3,No,7,M,ThroughFamily,No,Unrelated,No,Yes,Yes,No
432,7,F,25-Jan,4,No,5,F,ThroughFamily,No,Unrelated,No,Yes,Yes,No
432,7,F,25-Jan,5,No,6,M,Family,Yes,Immediate,No,Yes,No,No
432,7,F,25-Jan,6,No,7,F,ThroughFamily,No,Unrelated,No,Yes,No,No
934,8,M,24-Jan,1,No,10,M,School,No,Unrelated,No,No,Yes,No
934,8,M,24-Jan,2,No,8,M,School,No,Unrelated,No,Yes,No,No
934,8,M,24-Jan,3,No,8,M,School,No,Unrelated,No,No,No,No
934,8,M,24-Jan,4,No,9,M,School,No,Unrelated,Yes,No,No,No
569,9,M,26-Jan,1,No,9,M,Family,Yes,Extended,No,Yes,No,No
569,9,M,26-Jan,2,No,9,M,School,No,Unrelated,No,No,Yes,No
569,9,M,26-Jan,3,No,10,M,School,No,Unrelated,No,No,No,No
569,9,M,26-Jan,4,No,10,M,School,No,Unrelated,No,Yes,No,No
568,9,M,26-Jan,1,No,9,M,Family,Yes,Immediate,Yes,Yes,Yes,No
568,9,M,26-Jan,2,No,9,F,Family,Yes,Extended,Yes,Yes,No,No
575,10,F,26-Jan,1,No,8,F,Neighbors,No,Unrelated,No,Yes,Yes,No
575,10,F,26-Jan,2,No,8,F,Neighbors,No,Unrelated,No,Yes,No,No
961,9,M,27-Jan,1,No,18,M,School,No,Unrelated,No,No,No,No
961,9,M,27-Jan,2,No,8,M,School,No,Unrelated,No,Yes,No,No
961,9,M,27-Jan,3,No,9,M,School,No,Unrelated,No,No,No,No
961,9,M,27-Jan,4,No,9,M,School,No,Unrelated,No,No,Yes,No
573,15,F,27-Jan,1,No,13,F,School,No,Unrelated,No,No,Yes,No
573,15,F,27-Jan,2,No,15,M,Family,Yes,Extended,No,No,No,No
573,15,F,27-Jan,3,No,14,F,School,No,Unrelated,No,Yes,No,No
573,15,F,27-Jan,4,No,14,M,Family,Yes,Extended,No,No,No,No
