ID,Age,Sex,Date,HaveYou,WouldYou,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Count_same_sex,Count_other_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Partners_male_noadult,Partners_female_noadult,Count_same_sex_noadult,Count_other_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult
719,10,M,17-Jan,NoOpportunity,No,Public,The Point,ES-ES,Yes,2005,5,1978,5,27,224,5,2,3,0.6,2,3,2,3,4,1,5,0,1,1,1,1,2,0,2,0
720,9,F,17-Jan,No,No,Public,The Point,ES-ES,Yes,2005,5,1978,5,27,224,6,6,0,0,0,6,6,0,0,0,0,6,0,6,6,0,0,0,0,6
414,14,F,17-Jan,Yes,Yes,Public,Sandy Bay,EN,No,NA,NA,1987,6,3,439,4,4,0,0,1,3,3,1,0,4,4,0,1,3,3,1,0,4,4,0
415,7,M,17-Jan,Yes,Yes,Public,Sandy Bay,EN,No,NA,NA,1987,6,3,439,8,8,0,0,3,5,3,5,3,5,8,0,3,5,3,5,3,5,8,0
931,9,F,17-Jan,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,5,5,0,0,3,3,2,0,5,5,0,0,3,3,2
431,8,F,17-Jan,Yes,No,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,1991,10,15,387,3,3,0,0,1,2,2,1,0,1,1,2,1,2,2,1,0,1,1,2
954,12,F,17-Jan,Yes,No,Public,Camponado/Campolancho,ES-ES,Yes,2020,1,1982,7,28,48,3,3,0,0,0,3,3,0,0,0,0,3,0,3,3,0,0,0,0,3
430,11,M,17-Jan,Yes,Yes,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,1991,10,15,387,8,8,0,0,7,1,7,1,0,1,1,7,7,1,7,1,0,1,1,7
965,7,M,18-Jan,No,No,Methodist,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
565,16,F,22-Jan,No,No,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,1980,11,24,295,3,3,0,0,0,3,3,0,0,0,0,3,0,3,3,0,0,0,0,3
566,13,M,22-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,1980,11,24,295,6,6,0,0,6,0,6,0,0,1,1,5,6,0,6,0,0,1,1,5
686,7,F,22-Jan,Yes,Unsure,Adventist,Sandy Bay,ES-ES,Yes,2006,NA,1996,9,16,211,2,2,0,0,0,2,2,0,1,1,2,0,0,2,2,0,1,1,2,0
426,15,F,22-Jan,Yes,Yes,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,1983,4,27,489,5,5,0,0,0,5,5,0,0,1,1,4,0,5,5,0,0,1,1,4
567,9,M,22-Jan,Yes,Yes,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,1980,11,24,295,5,5,0,0,2,3,2,3,0,4,4,1,2,3,2,3,0,4,4,1
427,7,M,22-Jan,Yes,Yes,Adventist,Cola de Mica/Lozano,EN,No,NA,NA,1983,4,27,489,3,3,0,0,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1
871,11,M,23-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2020,12,1987,1,29,37,3,3,0,0,1,2,1,2,0,1,1,2,1,2,1,2,0,1,1,2
987,15,M,23-Jan,Yes,Yes,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,0,8,0,8,0,0,1,1,7,8,0,8,0,0,1,1,7
933,12,M,23-Jan,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,7,0,7,0,0,2,2,5,7,0,7,0,0,2,2,5
423,7,M,25-Jan,Yes,Unsure,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,1991,6,12,108,7,5,2,0.2857142857,3,4,3,4,4,2,6,1,2,2,2,2,2,1,3,1
978,8,F,25-Jan,No,Unsure,Public,La Loma,ES-ES,Yes,2018,7,1995,3,5,66,4,4,0,0,0,4,4,0,1,1,2,2,0,4,4,0,1,1,2,2
935,5,F,25-Jan,Yes,No,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,1991,6,12,108,2,2,0,0,1,1,1,1,2,0,2,0,1,1,1,1,2,0,2,0
422,13,F,25-Jan,No,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2015,1,1991,6,12,108,4,4,0,0,3,1,1,3,0,0,0,4,3,1,1,3,0,0,0,4
432,7,F,25-Jan,Yes,Yes,Methodist,Western Path,EN,No,NA,NA,1986,6,20,451,6,6,0,0,3,3,3,3,1,0,1,5,3,3,3,3,1,0,1,5
934,8,M,24-Jan,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
569,9,M,26-Jan,No,No,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,1993,7,12,199,4,4,0,0,4,0,4,0,0,1,1,3,4,0,4,0,0,1,1,3
568,9,M,26-Jan,Yes,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2007,NA,1993,7,12,199,2,2,0,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,2,0
575,10,F,26-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2010,NA,1986,9,1,163,2,2,0,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2
961,9,M,27-Jan,Yes,Yes,Public,Camponado/Campolancho,ES-ES,Yes,2013,7,1997,11,17,126,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
573,15,F,27-Jan,Yes,Yes,Public,Sandy Bay,ES-ES,Yes,2010,NA,1986,9,1,163,4,4,0,0,2,2,1,1,0,2,2,2,2,2,1,1,0,2,2,2
722,14,M,14-Feb,NA,NA,Methodist ,Cola de Mica/Lozano,ES-ES,Yes,2021,3,1979,8,25,34,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
576,8,F,15-Feb,NA,NA,Methodist,Camponado/Campolancho,ES-ES,Yes,2011,7,1996,8,10,150,4,4,0,0,2,2,2,2,0,3,3,1,2,2,2,2,0,3,3,1
738,17,F,16-Feb,NA,NA,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,1987,7,21,187,3,3,0,0,2,1,1,2,2,1,3,0,2,1,1,2,2,1,3,0
551,11,M,16-Feb,NA,NA,Public,Pumpkin Hill,ES-ES,Yes,2008,NA,1987,7,21,187,3,3,0,0,0,3,0,3,2,1,3,0,0,3,0,3,2,1,3,0
732,12,M,16-Feb,NA,NA,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,1993,6,12,307,2,2,0,0,2,0,2,0,1,0,1,1,2,0,2,0,1,0,1,1
733,7,M,16-Feb,NA,NA,Adventist,Camponado/Campolancho,ES-ES,Yes,1998,NA,1993,6,12,307,2,2,0,0,2,0,2,0,1,0,1,1,2,0,2,0,1,0,1,1
966,13,M,19-Feb,NA,NA,Methodist,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2
652,8,M,20-Feb,NA,NA,Public,Camponado/Campolancho,ES-ES,No,NA,NA,1996,7,7,330,5,5,0,0,2,3,2,3,0,5,5,0,2,3,2,3,0,5,5,0
610,13,M,20-Feb,NA,NA,Methodist,Sandy Bay,ES-ES,Yes,2005,NA,1982,10,12,223,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2
901,7,F,20-Feb,NA,NA,Methodist,Sandy Bay,ES-ES,Yes,2005,NA,1982,10,12,223,4,4,0,0,1,3,3,1,1,0,1,3,1,3,3,1,1,0,1,3
558,13,F,21-Feb,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,1986,2,15,283,8,8,0,0,2,6,6,2,0,1,1,7,2,6,6,2,0,1,1,7
559,9,F,21-Feb,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,1986,2,15,283,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
697,10,M,21-Feb,NA,NA,Public,Camponado/Campolancho,ES-ES,Yes,2012,NA,1997,4,18,139,8,8,0,0,8,0,8,0,0,4,4,4,8,0,8,0,0,4,4,4
595,13,M,21-Feb,NA,NA,Public,Monte Fresco,ES-ES,No,NA,NA,1991,2,19,395,2,2,0,0,2,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0
596,9,M,21-Feb,NA,NA,Public,Monte Fresco,ES-ES,No,NA,NA,1991,2,19,395,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,0,4
413,16,M,27-Feb,NA,NA,Public,Sandy Bay,EN,No,NA,NA,1987,6,3,439,6,6,0,0,5,1,5,1,0,0,0,6,5,1,5,1,0,0,0,6
574,14,M,28-Feb,NA,NA,Public,Sandy Bay,ES-ES,Yes,2010,NA,1986,9,1,163,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,0,3
683,7,M,28-Feb,NA,NA,Methodist,Rocky Hill,ES-ES,Yes,1990,NA,1986,9,11,403,6,6,0,0,5,1,5,1,0,1,1,5,5,1,5,1,0,1,1,5
900,12,M,28-Feb,NA,NA,Adventist ,Camponado/Campolancho,ES-ES,Yes,2018,2,1989,1,28,71,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,0,3
612,15,M,29-Feb,NA,NA,Public,Rocky Hill,ES-ES,Yes,2006,NA,1972,1,29,211,8,8,0,0,5,3,5,3,0,0,0,8,5,3,5,3,0,0,0,8
909,9,F,29-Feb,NA,NA,Public,Rocky Hill,ES-ES,Yes,2006,NA,1972,1,29,211,4,3,1,0.25,2,2,2,2,3,0,3,1,1,2,2,1,2,0,2,0
908,7,F,29-Feb,NA,NA,Public,Rocky Hill,ES-ES,Yes,2006,NA,1972,1,29,211,4,4,0,0,2,2,2,2,0,0,0,4,2,2,2,2,0,0,0,4
405,15,M,29-Feb,NA,NA,Methodist,Donkey City,EN,Yes,2006,11,NA,NA,NA,206,7,7,0,0,7,0,7,0,0,1,1,6,7,0,7,0,0,1,1,6
988,13,F,29-Feb,NA,NA,Methodist,Airport/Jerusalem,ES-ES,No,NA,NA,1989,1,1,420,5,5,0,0,0,5,5,0,0,1,1,4,0,5,5,0,0,1,1,4
618,14,M,29-Feb,NA,NA,Methodist ,Airport/Jerusalem,ES-ES,No,NA,NA,1989,1,1,420,6,6,0,0,5,1,5,1,0,1,1,5,5,1,5,1,0,1,1,5
410,11,M,5-Mar,NA,NA,Other,Treasure Hill,EN,No,NA,NA,1990,6,29,403,5,5,0,0,5,0,5,0,0,1,1,4,5,0,5,0,0,1,1,4
936,5,M,5-Mar,NA,NA,Other,Treasure Hill,EN,No,NA,NA,1990,6,29,403,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,0,3
