ID,Age,Sex,Date,HaveYou,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult
969,16,F,15-Jan,Yes,No,1,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,163,1990,10,30,163,5,32,5.656854249,5,32,5.656854249,2,2,0,0,0,2,0,2,0,1,0,1,1,1,0,0.5,0.5,0,2,0,2,0,1,0,1,1,1,0,0.5,0.5
417,11,F,15-Jan,Yes,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
418,8,F,15-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
655,7,M,16-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2003,NA,247,1997,3,13,247,-2.4,32.3,5.683308895,5.2,5.7,2.387467277,5,5,0,0,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4
727,11,F,16-Jan,Yes,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2018,9,64,1981,2,27,64,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
451,10,M,16-Jan,NoOpportunity,Yes,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,-2.25,3.071428571,1.752549164,2.25,3.071428571,1.752549164,8,8,0,0,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5
673,11,F,16-Jan,No,Unsure,0,Public,Sandy Bay,ES-ES,Yes,2012,12,133,1991,2,17,133,0,0,0,0,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0
443,7,M,16-Jan,Yes,No,1,Kinder,Camponado/Campolancho,ES-ES,Yes,2014,3,118,1994,3,4,118,0.2,0.2,0.4472135955,0.2,0.2,0.4472135955,5,5,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0
982,7,F,16-Jan,Yes,Yes,1,Methodist,Countryside,ES-ES,Yes,2008,NA,187,1983,7,27,187,-0.125,0.6964285714,0.8345229604,0.625,0.2678571429,0.5175491695,8,8,0,0,3,5,0.375,5,3,0.625,0,0,0,8,0,0,0,3,5,0.375,5,3,0.625,0,0,0,8,0,0,0
452,9,F,16-Jan,Yes,No,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,0,0.8,0.894427191,0.6666666667,0.2666666667,0.5163977795,6,6,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0
693,9,M,16-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1991,6,28,391,-1.5,4.5,2.121320344,1.5,4.5,2.121320344,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
893,7,M,16-Jan,NoOpportunity,Yes,1,Methodist,Sandy Bay,ES-ES,Yes,2020,NA,43,1993,10,5,43,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
702,12,F,16-Jan,Yes,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2008,11,182,1993,5,20,182,NA,NA,NA,NA,NA,1.169045194,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA
930,10,F,16-Jan,Yes,Yes,1,Methodist,Sandy Bay,ES-ES,Yes,2008,5,188,1982,7,4,188,-1.166666667,1.366666667,1.169045194,1.166666667,1.366666667,0.4082482905,6,6,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0
709,7,M,16-Jan,Yes,Yes,1,Public,The Point,ES-ES,Yes,1990,NA,403,1974,8,2,403,-0.1666666667,0.9666666667,0.9831920803,0.8333333333,0.1666666667,0,6,6,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0
721,8,M,17-Jan,No,Yes,1,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1,0,0,1,0,0.7071067812,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
719,10,M,17-Jan,NoOpportunity,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1.5,0.5,0.7071067812,1.5,0.5,0.5477225575,5,2,3,0.6,2,3,0.4,2,3,0.4,4,1,5,0,0.8,0.2,1,1,1,0.5,1,1,0.5,2,0,2,0,1,0,1
720,9,F,17-Jan,No,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,0.5,0.3,0.5477225575,0.5,0.3,2.217355783,6,6,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0
414,14,F,17-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,6.75,4.916666667,2.217355783,6.75,4.916666667,4.097037257,4,4,0,0,1,3,0.25,3,1,0.75,0,4,4,0,0,1,1,1,3,0.25,3,1,0.75,0,4,4,0,0,1,1
415,7,M,17-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1987,6,3,439,-2.75,33.92857143,5.824823725,4.75,16.78571429,1,8,8,0,0,3,5,0.375,3,5,0.375,3,5,8,0,0.375,0.625,1,3,5,0.375,3,5,0.375,3,5,8,0,0.375,0.625,1
931,9,F,17-Jan,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,1.8,1.341640786,1,1,0,5,5,0,0,0,5,0,5,0,1,0,3,3,2,0,0.6,0.6,0,5,0,5,0,1,0,3,3,2,0,0.6,0.6
431,8,F,17-Jan,Yes,No,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1991,10,15,387,0,0,0,0,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,1,1,2,0,0.333333333,0.333333333,1,2,0.333333333,2,1,0.666666667,0,1,1,2,0,0.333333333,0.333333333
954,12,F,17-Jan,Yes,No,1,Public,Camponado/Campolancho,ES-ES,Yes,2020,1,48,1982,7,28,48,-0.6666666667,1.333333333,1.154700538,0.6666666667,1.333333333,1.154700538,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0
430,11,M,17-Jan,Yes,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1991,10,15,387,0.75,2.5,1.58113883,1.25,1.357142857,1.164964745,8,8,0,0,7,1,0.875,7,1,0.875,0,1,1,7,0,0.125,0.125,7,1,0.875,7,1,0.875,0,1,1,7,0,0.125,0.125
965,7,M,18-Jan,No,No,0,Methodist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.9166666667,0.9574271078,0.75,0.9166666667,0.9574271078,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
565,16,F,22-Jan,No,No,0,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,0.6666666667,2.333333333,1.527525232,1.333333333,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0
566,13,M,22-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,1999,NA,295,1980,11,24,295,0,3.2,1.788854382,1.333333333,1.066666667,1.032795559,6,6,0,0,6,0,1,6,0,1,0,1,1,5,0,0.166666667,0.166666667,6,0,1,6,0,1,0,1,1,5,0,0.166666667,0.166666667
686,7,F,22-Jan,Yes,Unsure,1,Adventist,Sandy Bay,ES-ES,Yes,2006,NA,211,1996,9,16,211,4.5,12.5,3.535533906,4.5,12.5,3.535533906,2,2,0,0,0,2,0,2,0,1,1,1,2,0,0.5,0.5,1,0,2,0,2,0,1,1,1,2,0,0.5,0.5,1
