ID,StatedAge,Age,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult,Sex
646,13,13,Yes,1,Methodist,Centro,ES-ES,Yes,2020,12,37,1970,3,26,37,1.5,0.5,0.7071067812,1.5,0.5,0.7071067812,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,F
652,8,8.58,NA,NA,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1996,7,7,330,-3,4,2,3,4,2,5,5,0,0,2,3,0.4,2,3,0.4,0,5,5,0,0,1,1,2,3,0.4,2,3,0.4,0,5,5,0,0,1,1,M
655,7,7.83,Yes,1,Public,Sandy Bay,ES-ES,Yes,2003,NA,247,1997,3,13,247,-2.4,32.3,5.683308895,5.2,5.7,2.387467277,5,5,0,0,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4,M
661,11,11.25,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1996,1,5,283,1,4,2,1,4,2,4,4,0,0,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25,F
662,7,7.67,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1996,1,5,283,0.625,10.26785714,3.204349722,2.625,2.839285714,1.685018016,8,8,0,0,6,2,0.75,6,2,0.75,0,1,1,7,0,0.125,0.125,6,2,0.75,6,2,0.75,0,1,1,7,0,0.125,0.125,M
673,11,11.08,Unsure,0,Public,Sandy Bay,ES-ES,Yes,2012,12,133,1991,2,17,133,0,0,0,0,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,F
681,9,9.33,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1993,9,29,364,-0.5,3,1.732050808,1,2,1.414213562,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,M
682,13,13.08,Yes,1,Methodist,Rocky Hill,ES-ES,Yes,1990,NA,403,1986,9,11,403,-1.2,1.2,1.095445115,1.2,1.2,1.095445115,5,5,0,0,2,3,0.4,3,2,0.6,0,0,0,5,0,0,0,2,3,0.4,3,2,0.6,0,0,0,5,0,0,0,F
683,7,7.08,NA,NA,Methodist,Rocky Hill,ES-ES,Yes,1990,NA,403,1986,9,11,403,0.5833333333,1.041666667,1.020620726,0.9166666667,0.4416666667,0.6645800679,6,6,0,0,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667,5,1,0.8333333333,5,1,0.8333333333,0,1,1,5,0,0.1666666667,0.1666666667,M
686,7,7.17,Unsure,1,Adventist,Sandy Bay,ES-ES,Yes,2006,NA,211,1996,9,16,211,4.5,12.5,3.535533906,4.5,12.5,3.535533906,2,2,0,0,0,2,0,2,0,1,1,1,2,0,0.5,0.5,1,0,2,0,2,0,1,1,1,2,0,0.5,0.5,1,F
